epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,158.814,1.30961,1.05327,1.19013,0.73646,0.62424,0.71267,0.40435,1.45223,1.12553,1.29065,0.00167528,0.00167528,0.00167528
43,162.395,1.28219,0.97574,1.17358,0.68631,0.62727,0.65344,0.37777,1.47507,1.25771,1.30942,0.00166736,0.00166736,0.00166736
44,165.973,1.29733,0.98739,1.17458,0.75045,0.59091,0.6661,0.37456,1.4648,1.24459,1.27497,0.00165944,0.00165944,0.00165944
45,169.569,1.30113,0.96213,1.17515,0.78234,0.60606,0.70692,0.4045,1.42047,1.07342,1.27244,0.00165152,0.00165152,0.00165152
46,173.167,1.27903,0.94476,1.14364,0.76528,0.56061,0.65876,0.37334,1.41275,1.19885,1.29246,0.0016436,0.0016436,0.0016436
47,176.749,1.26608,0.9787,1.15297,0.83832,0.57879,0.70147,0.39555,1.43558,1.03493,1.27156,0.00163568,0.00163568,0.00163568
48,180.393,1.29518,0.95827,1.17151,0.81856,0.56061,0.67085,0.34176,1.6248,1.1521,1.39731,0.00162776,0.00162776,0.00162776
49,184.176,1.31723,0.9904,1.18711,0.77207,0.57273,0.68684,0.37978,1.45395,1.05017,1.31503,0.00161984,0.00161984,0.00161984
50,187.686,1.31281,1.0052,1.1921,0.7771,0.62333,0.70919,0.41447,1.39307,1.01716,1.23564,0.00161192,0.00161192,0.00161192
51,191.334,1.25779,0.93065,1.13007,0.66219,0.5762,0.64579,0.37727,1.45936,1.27458,1.28831,0.001604,0.001604,0.001604
52,194.895,1.28351,0.93265,1.1595,0.75337,0.63333,0.71635,0.41034,1.44847,1.00343,1.27043,0.00159608,0.00159608,0.00159608
53,198.526,1.26794,0.93256,1.13601,0.72726,0.66364,0.72346,0.41936,1.4062,1.02684,1.24995,0.00158816,0.00158816,0.00158816
54,202.156,1.25721,0.92696,1.13973,0.79071,0.61822,0.72111,0.41851,1.40437,1.10019,1.26292,0.00158024,0.00158024,0.00158024
55,205.805,1.22732,0.88988,1.13322,0.7103,0.61515,0.68981,0.39723,1.45487,1.11641,1.31091,0.00157232,0.00157232,0.00157232
56,209.351,1.27239,0.9257,1.14193,0.80832,0.60303,0.71436,0.41699,1.40422,1.02008,1.26518,0.0015644,0.0015644,0.0015644
57,212.932,1.26548,0.88681,1.15413,0.76017,0.56667,0.65304,0.379,1.38537,1.1263,1.24969,0.00155648,0.00155648,0.00155648
58,216.654,1.23343,0.93455,1.15833,0.70953,0.62121,0.67605,0.38058,1.46697,1.11924,1.31824,0.00154856,0.00154856,0.00154856
59,220.217,1.25905,0.91022,1.11862,0.80633,0.57576,0.68314,0.39601,1.40259,1.04546,1.25533,0.00154064,0.00154064,0.00154064
60,223.775,1.21469,0.88342,1.12657,0.67495,0.62727,0.6687,0.38815,1.43025,1.09824,1.29858,0.00153272,0.00153272,0.00153272
61,227.294,1.22811,0.88818,1.13316,0.82356,0.60909,0.70882,0.40269,1.44432,1.06283,1.29924,0.0015248,0.0015248,0.0015248
62,230.885,1.25619,0.8833,1.1174,0.761,0.66579,0.73423,0.43387,1.31382,0.95708,1.22868,0.00151688,0.00151688,0.00151688
63,234.573,1.23987,0.89487,1.14097,0.77503,0.61212,0.70196,0.39947,1.38242,1.14844,1.26588,0.00150896,0.00150896,0.00150896
64,238.154,1.20636,0.90948,1.11568,0.77091,0.62121,0.71463,0.3947,1.45098,0.97402,1.27356,0.00150104,0.00150104,0.00150104
65,241.732,1.2301,0.88965,1.14609,0.79092,0.68485,0.73857,0.42767,1.40348,0.97127,1.26037,0.00149312,0.00149312,0.00149312
66,245.276,1.22055,0.86827,1.1116,0.83241,0.57273,0.71473,0.41237,1.43819,1.05438,1.26973,0.0014852,0.0014852,0.0014852
67,248.966,1.20433,0.88013,1.11518,0.73614,0.63407,0.70282,0.4064,1.38194,1.12393,1.26816,0.00147728,0.00147728,0.00147728
68,252.555,1.21798,0.84399,1.09546,0.75658,0.63104,0.69954,0.40516,1.42772,1.01869,1.30459,0.00146936,0.00146936,0.00146936
